name,domain,country,state,city,employees,revenue,founded_year,type,employees_num,revenue_num,founded_year_num,main_industry,categories_list,category_primary
BMW,bmw.com,Germany,Bavaria,Munich,over-10K,over-1b,1992.0,public,12000.0,1500000000.0,1992.0,manufacturing,"['b2c', 'b2b']",B2C
Audi,audiusa.com,United States,Connecticut,Washington,1K-5K,over-1b,1909.0,private,3000.0,1500000000.0,1909.0,retail,"['b2c', 'saas']",B2C
Mercedes-Benz,mercedes-benz.co.uk,United Kingdom,England,Milton Keynes,1K-5K,200m-1b,1886.0,public,3000.0,600000000.0,1886.0,manufacturing,['b2c'],B2C
Genesis,genesis.com,South Korea,Seoul,Seoul,501-1K,1m-10m,2016.0,public,251000.0,5500000.0,2016.0,manufacturing,"['b2c', 'media']",B2C
BMW Vietnam,bmw.vn,Vietnam,Hồ Chí Minh,Ho Chi Minh City,51-200,Unknown,2006.0,public,125.5,600000000.0,2006.0,retail,"['b2c', 'b2b', 'service-provider']",B2C
Lexus,lexus.com,United States,California,Torrance,5K-10K,over-1b,1989.0,public,7500.0,1500000000.0,1989.0,retail,"['b2c', 'service-provider']",B2C
Volkswagen Group,volkswagen-group.com,Germany,Lower Saxony,Wolfsburg,over-10K,over-1b,1937.0,public,12000.0,1500000000.0,1937.0,manufacturing,"['b2b', 'b2c']",B2B
Porsche,porscheownersmanuals.com,United States,Unknown,Unknown,201-500,Unknown,Unknown,private,350.5,600000000.0,,manufacturing,"['b2c', 'b2b']",B2C
Cadillac,cadillac.com,United States,Michigan,Detroit,501-1K,over-1b,1908.0,public,251000.0,1500000000.0,1908.0,manufacturing,"['b2c', 'saas']",B2C
Volkswagen,volkswagen.de,Germany,Lower Saxony,Wolfsburg,11-50,Unknown,2002.0,public,30.5,600000000.0,2002.0,manufacturing,"['b2c', 'b2b', 'service-provider']",B2C
Jaguar,jaguar.com,United Kingdom,England,Coventry,51-200,over-1b,1922.0,private,125.5,1500000000.0,1922.0,manufacturing,"['b2c', 'service-provider']",B2C
Lamborghini,lamborghini.com,Italy,Emilia-Romagna,Sant'Agata Bolognese,5K-10K,over-1b,1963.0,private,7500.0,1500000000.0,1963.0,retail,['b2c'],B2C
Nissan,nissan.de,Germany,Berlin,Berlin,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,manufacturing,"['b2c', 'b2b']",B2C
奥迪,audi.cn,China,Unknown,Unknown,201-500,Unknown,Unknown,Unknown,350.5,600000000.0,,retail,['b2c'],B2C
Toyota,toyota.com,United States,Texas,Plano,over-10K,over-1b,1957.0,public,12000.0,1500000000.0,1957.0,manufacturing,"['b2b', 'b2c']",B2B
Ford,ford.de,Germany,North Rhine-Westphalia,Unknown,Unknown,Unknown,1925.0,Unknown,3000.0,600000000.0,1925.0,manufacturing,"['b2c', 'b2b']",B2C
Bugatti Automobiles,bugatti.com,France,Grand-Est,Molsheim,1K-5K,200m-1b,1909.0,public,3000.0,600000000.0,1909.0,manufacturing,['b2c'],B2C
Land Rover,landrover.com,United Kingdom,England,Whitley,1-10,Unknown,1999.0,Unknown,5.5,600000000.0,1999.0,manufacturing,"['b2c', 'service-provider']",B2C
Volvo,luxe.com,United States,California,San Francisco,Unknown,1m-10m,2013.0,private,3000.0,5500000.0,2013.0,retail,['b2c'],B2C
Acura,acura.com,United States,California,Torrance,11-50,over-1b,1986.0,private,30.5,1500000000.0,1986.0,retail,"['b2c', 'service-provider']",B2C
Alpina,alpina-automobiles.com,Germany,Bavaria,Buchloe,51-200,50m-100m,1965.0,private,125.5,75000000.0,1965.0,manufacturing,"['b2c', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2C
Daimler AG,daimler.com,Germany,Baden-Württemberg,Stuttgart,over-10K,over-1b,1886.0,public,12000.0,1500000000.0,1886.0,manufacturing,"['b2b', 'b2c']",B2B
INFINITI,infiniti.com,Japan,Kanagawa Prefecture,Yokohama,1K-5K,200m-1b,1989.0,public,3000.0,600000000.0,1989.0,manufacturing,['b2c'],B2C
Mercedes-AMG,mercedes-amg.com,Germany,Baden-Württemberg,Affalterbach,1K-5K,1m-10m,1967.0,private,3000.0,5500000.0,1967.0,manufacturing,"['b2c', 'saas']",B2C
Maybach,maybach.com,United States,California,San Francisco,1-10,Unknown,Unknown,Unknown,5.5,600000000.0,,manufacturing,"['b2c', 'saas']",B2C
Peugeot,peugeot.com,France,Île-de-France,Poissy,over-10K,over-1b,1810.0,public,12000.0,1500000000.0,1810.0,consumer services,"['b2c', 'b2b']",B2C
Blog BMW,blogbmw.fr,France,Provence-Alpes-Côte-d’Azur,La Ciotat,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,media and internet,"['b2c', 'media']",B2C
BMW Group,bmwgroup-werke.com,Austria,Upper Austria,Steyr,51-200,Unknown,1916.0,Unknown,125.5,600000000.0,1916.0,manufacturing,"['b2c', 'b2b']",B2C
MAHLE,mahle.com,Germany,Baden-Württemberg,Stuttgart,over-10K,over-1b,1920.0,private,12000.0,1500000000.0,1920.0,manufacturing,"['b2b', 'saas']",B2B
Automobili Pininfarina,automobili-pininfarina.com,Italy,Piedmont,Cambiano,51-200,1m-10m,2018.0,private,125.5,5500000.0,2018.0,manufacturing,"['b2c', 'saas']",B2C
Bradesco Seguros,bradescoseguros.com.br,Brazil,São Paulo,Barueri,5K-10K,over-1b,1936.0,private,7500.0,1500000000.0,1936.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
LendingTree,lendingtree.com,United States,North Carolina,Charlotte,1K-5K,200m-1b,1996.0,public,3000.0,600000000.0,1996.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Aon,aon.com,United Kingdom,England,London,over-10K,over-1b,1987.0,public,12000.0,1500000000.0,1987.0,business services,"['b2b', 'service-provider']",B2B
State Farm,statefarm.com,United States,Illinois,Bloomington,over-10K,over-1b,1922.0,self-owned,12000.0,1500000000.0,1922.0,finance,"['b2c', 'b2b', 'saas']",B2C
Cigna,cigna.com,United States,Indiana,Bloomfield,over-10K,over-1b,1792.0,public,12000.0,1500000000.0,1792.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Allianz,allianz.com,Germany,Bavaria,Munich,over-10K,over-1b,1890.0,public,12000.0,1500000000.0,1890.0,finance,"['b2b', 'b2c', 'saas']",B2B
ADAC,adac.de,Germany,Unknown,Unknown,1K-5K,50m-100m,1903.0,self-owned,3000.0,75000000.0,1903.0,organizations,"['b2c', 'b2b', 'service-provider']",B2C
Techniker Krankenkasse,tk.de,Germany,Hamburg,Hamburg,over-10K,over-1b,1884.0,nonprofit,12000.0,1500000000.0,1884.0,insurance,"['b2c', 'service-provider']",B2C
AOK,aok.de,Germany,Berlin,Berlin,501-1K,1m-10m,2007.0,nonprofit,251000.0,5500000.0,2007.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
HUK-COBURG,huk.de,Germany,Bavaria,Coburg,1K-5K,under-1m,1933.0,private,3000.0,500000.0,1933.0,insurance,"['b2c', 'service-provider']",B2C
Revolut,revolut.me,Unknown,Unknown,Unknown,over-10K,Unknown,2015.0,private,12000.0,600000000.0,2015.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
UPMC,upmc.com,United States,Pennsylvania,Pittsburgh,over-10K,over-1b,1986.0,nonprofit,12000.0,1500000000.0,1986.0,hospitals and physicians clinics,"['b2c', 'service-provider']",B2C
TIAA,tiaa.org,United States,New York,Unknown,over-10K,over-1b,1918.0,private,12000.0,1500000000.0,1918.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
Hargreaves Lansdown,hl.co.uk,United Kingdom,England,Bristol,1K-5K,200m-1b,1981.0,private,3000.0,600000000.0,1981.0,finance,"['b2c', 'service-provider']",B2C
Desjardins,desjardins.com,Canada,Quebec,Montréal,over-10K,over-1b,1900.0,private,12000.0,1500000000.0,1900.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
RBC,rbc.com,Canada,Ontario,Toronto,over-10K,over-1b,1969.0,public,12000.0,1500000000.0,1969.0,finance,"['b2b', 'b2c']",B2B
Travelers,travelers.com,United States,Connecticut,Hartford,over-10K,over-1b,1853.0,public,12000.0,1500000000.0,1853.0,insurance,"['b2c', 'b2b']",B2C
Aetna,aetna.com,United States,Connecticut,Hartford,over-10K,over-1b,1853.0,public,12000.0,1500000000.0,1853.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Farmers,farmers.com,United States,California,Los Angeles,over-10K,over-1b,1928.0,public,12000.0,1500000000.0,1928.0,insurance,"['b2c', 'b2b']",B2C
CVS Health,cvshealth.com,United States,Rhode Island,Woonsocket,over-10K,over-1b,1963.0,public,12000.0,1500000000.0,1963.0,retail,"['b2c', 'b2b', 'e-commerce']",B2C
ICICI Bank,icicibank.com,India,Maharashtra,Mumbai,over-10K,over-1b,1994.0,public,12000.0,1500000000.0,1994.0,finance,"['b2b', 'b2c']",B2B
Poste Italiane,poste.it,Italy,Unknown,Unknown,11-50,over-1b,2004.0,private,30.5,1500000000.0,2004.0,transportation,"['b2b', 'b2c', 'service-provider']",B2B
Annual Credit Report,annualcreditreport.com,United States,Georgia,Atlanta,Unknown,1m-10m,Unknown,Unknown,3000.0,5500000.0,,business services,"['b2c', 'service-provider']",B2C
Hagerty,hagerty.com,United States,Michigan,Traverse City,1K-5K,over-1b,1983.0,public,3000.0,1500000000.0,1983.0,insurance,"['b2c', 'service-provider']",B2C
Aflac,aflac.com,United States,Georgia,Columbus,over-10K,over-1b,1955.0,public,12000.0,1500000000.0,1955.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
India Post,indiapost.gov.in,India,Delhi,New Delhi,over-10K,1m-10m,Unknown,government,12000.0,5500000.0,,transportation,"['b2g', 'b2c', 'service-provider']",B2G
MetLife,metlife.com,United States,New York,Unknown,over-10K,over-1b,1868.0,public,12000.0,1500000000.0,1868.0,finance,"['b2c', 'b2b']",B2C
UnitedHealth Group,unitedhealthgroup.com,United States,Minnesota,Minneapolis,over-10K,over-1b,1977.0,public,12000.0,1500000000.0,1977.0,insurance,"['b2b', 'b2c', 'service-provider']",B2B
National Notary Association,nationalnotary.org,United States,California,Chico,1K-5K,1m-10m,1957.0,private,3000.0,5500000.0,1957.0,law firms and legal services,"['b2b', 'b2c', 'service-provider']",B2B
Munich Re,munichre.com,Germany,Bavaria,Munich,over-10K,over-1b,1880.0,public,12000.0,1500000000.0,1880.0,insurance,['b2b'],B2B
Zurich,zurich.com,Switzerland,Unknown,Unknown,over-10K,over-1b,1872.0,public,12000.0,1500000000.0,1872.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Zoopla,zoopla.co.uk,United Kingdom,England,Unknown,201-500,50m-100m,2008.0,private,350.5,75000000.0,2008.0,insurance,"['b2c', 'e-commerce']",B2C
Anthem,anthem.com,United States,Indiana,Indianapolis,over-10K,over-1b,2010.0,public,12000.0,1500000000.0,2010.0,insurance,"['b2c', 'b2b']",B2C
Barmer,barmer.de,Germany,Berlin,Berlin,1K-5K,under-1m,2017.0,nonprofit,3000.0,500000.0,2017.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Berkshire Hathaway,berkshirehathaway.com,United States,Nebraska,Omaha,over-10K,over-1b,1839.0,public,12000.0,1500000000.0,1839.0,finance,"['b2b', 'b2c']",B2B
DAK,dak.de,Germany,Hamburg,Hamburg,1K-5K,1m-10m,1774.0,government,3000.0,5500000.0,1774.0,insurance,"['b2c', 'service-provider']",B2C
Progressive,progressive.com,United States,Ohio,Mayfield,over-10K,over-1b,1937.0,public,12000.0,1500000000.0,1937.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Insurance Information Institute,iii.org,United States,Pennsylvania,Malvern,51-200,1m-10m,1960.0,nonprofit,125.5,5500000.0,1960.0,insurance,"['b2b', 'b2c', 'media']",B2B
AXA Global Direct,po.st,France,Île-de-France,Suresnes,51-200,Unknown,2009.0,private,125.5,600000000.0,2009.0,insurance,['b2c'],B2C
RBC Royal Bank,rbcroyalbank.com,Canada,Ontario,Toronto,1-10,Unknown,Unknown,public,5.5,600000000.0,,finance,"['b2b', 'b2c']",B2B
Blue Shield of California,blueshieldca.com,United States,California,Oakland,5K-10K,over-1b,1939.0,nonprofit,7500.0,1500000000.0,1939.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Bupa,bupa.co.uk,United Kingdom,England,London,1-10,Unknown,1947.0,private,5.5,600000000.0,1947.0,hospitals and physicians clinics,"['b2b', 'b2c', 'service-provider']",B2B
Liberty Mutual,libertymutual.com,United States,Massachusetts,Boston,51-200,Unknown,1912.0,private,125.5,600000000.0,1912.0,insurance,"['b2b', 'b2c', 'service-provider']",B2B
GEICO,geico.com,United States,Maryland,Chevy Chase,over-10K,over-1b,1936.0,private,12000.0,1500000000.0,1936.0,insurance,"['b2c', 'b2b']",B2C
Nationwide,nationwide.com,United States,Ohio,Columbus,over-10K,over-1b,1925.0,private,12000.0,1500000000.0,1925.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
AirHelp,airhelp.com,Germany,Berlin,Berlin,201-500,50m-100m,2013.0,private,350.5,75000000.0,2013.0,business services,"['b2c', 'service-provider']",B2C
DAN Europe,daneurope.org,Malta,Unknown,Unknown,51-200,under-1m,1983.0,nonprofit,125.5,500000.0,1983.0,business services,"['b2c', 'service-provider']",B2C
Carsales,carsales.com.au,Australia,New South Wales,Sydney,501-1K,200m-1b,1998.0,public,251000.0,600000000.0,1998.0,business services,"['b2c', 'e-commerce']",B2C
Sharp HealthCare,sharp.com,United States,California,Irvine,over-10K,over-1b,1946.0,nonprofit,12000.0,1500000000.0,1946.0,hospitals and physicians clinics,"['b2c', 'service-provider']",B2C
ANWB,anwb.nl,Netherlands,Utrecht,Doorn,1K-5K,50m-100m,1883.0,nonprofit,3000.0,75000000.0,1883.0,organizations,"['b2c', 'b2b', 'service-provider']",B2C
RAC,rac.co.uk,United Kingdom,England,Walsall,1K-5K,200m-1b,1897.0,public,3000.0,600000000.0,1897.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Industrial and Commercial Bank of China,icbc.com.cn,China,Beijing,Beijing,over-10K,over-1b,1984.0,public,12000.0,1500000000.0,1984.0,finance,"['b2b', 'b2c', 'b2g']",B2B
Heacock Classic,heacockclassic.com,United States,New Jersey,Cherry Hill,51-200,10m-50m,1989.0,private,125.5,30000000.0,1989.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
LendingClub,lendingclub.com,United States,California,San Francisco,1K-5K,over-1b,2006.0,public,3000.0,1500000000.0,2006.0,insurance,"['b2c', 'b2b']",B2C
Next Insurance,nextinsurance.com,United States,California,Palo Alto,501-1K,200m-1b,2003.0,private,251000.0,600000000.0,2003.0,insurance,"['b2b', 'saas']",B2B
Excellus BlueCross BlueShield,excellusbcbs.com,United States,New York,Syracuse,1K-5K,over-1b,1932.0,nonprofit,3000.0,1500000000.0,1932.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
HealthPartners,healthpartners.com,United States,Minnesota,Bloomington,over-10K,over-1b,1957.0,nonprofit,12000.0,1500000000.0,1957.0,healthcare services,"['b2c', 'b2b', 'service-provider']",B2C
World Nomads,worldnomads.com,Australia,New South Wales,Sydney,11-50,10m-50m,2002.0,public,30.5,30000000.0,2002.0,insurance,"['b2c', 'service-provider']",B2C
DTCC,dtcc.com,United States,New Jersey,Jersey City,5K-10K,over-1b,1973.0,private,7500.0,1500000000.0,1973.0,finance,['b2b'],B2B
Allstate Protection Plans,squaretrade.com,United States,California,Brisbane,501-1K,over-1b,1999.0,public,251000.0,1500000000.0,1999.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
ÖAMTC,oeamtc.at,Austria,Unknown,Unknown,501-1K,200m-1b,1896.0,nonprofit,251000.0,600000000.0,1896.0,organizations,"['b2c', 'service-provider']",B2C
UnitedHealthcare,uhc.com,United States,Minnesota,Hopkins,over-10K,over-1b,1977.0,public,12000.0,1500000000.0,1977.0,insurance,"['b2c', 'b2b']",B2C
BoatUS,boatus.com,United States,Virginia,Alexandria,51-200,10m-50m,1966.0,private,125.5,30000000.0,1966.0,organizations,"['b2c', 'service-provider']",B2C
AXA,axa.com,France,Île-de-France,Paris,over-10K,over-1b,1816.0,public,12000.0,1500000000.0,1816.0,finance,"['b2b', 'b2c', 'service-provider']",B2B
AIA,aia.com.sg,Singapore,Central Singapore,Singapore,1K-5K,200m-1b,1931.0,public,3000.0,600000000.0,1931.0,insurance,"['b2c', 'b2b']",B2C
Delta Dental,deltadental.com,United States,California,San Rafael,51-200,50m-100m,1966.0,nonprofit,125.5,75000000.0,1966.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Generali,generali.de,Germany,Unknown,Unknown,1K-5K,under-1m,1831.0,public,3000.0,500000.0,1831.0,insurance,"['b2c', 'b2b']",B2C
American Family Insurance,amfam.com,United States,Wisconsin,Madison,over-10K,over-1b,1927.0,private,12000.0,1500000000.0,1927.0,insurance,"['b2c', 'b2b']",B2C
Manulife,manulife.com,Canada,Ontario,Toronto,over-10K,over-1b,1887.0,public,12000.0,1500000000.0,1887.0,finance,"['b2c', 'b2b']",B2C
Signal Iduna,signal-iduna.de,Germany,North Rhine-Westphalia,Dortmund,1K-5K,Unknown,1907.0,self-owned,3000.0,600000000.0,1907.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Mutual of Omaha,mutualofomaha.com,United States,Nebraska,Omaha,5K-10K,over-1b,1909.0,private,7500.0,1500000000.0,1909.0,insurance,"['b2c', 'b2b', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2C
Choice Mutual,choicemutual.com,United States,Nevada,Reno,1-10,Unknown,2013.0,private,5.5,600000000.0,2013.0,insurance,"['b2c', 'service-provider']",B2C
WTW,wtwco.com,United States,Illinois,Chicago,over-10K,over-1b,1828.0,public,12000.0,1500000000.0,1828.0,business services,"['b2b', 'service-provider']",B2B
Credendo,credendo.com,Belgium,Brussels-Capital Region,Brussels,501-1K,Unknown,1921.0,government,251000.0,600000000.0,1921.0,insurance,"['b2b', 'service-provider']",B2B
OptOutPrescreen,optoutprescreen.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,business services,"['b2c', 'service-provider']",B2C
Centene,centene.com,United States,Missouri,St. Louis,over-10K,over-1b,1984.0,public,12000.0,1500000000.0,1984.0,insurance,"['b2g', 'b2c', 'service-provider']",B2G
Thrivent,thrivent.com,United States,Wisconsin,Appleton,5K-10K,over-1b,1902.0,private,7500.0,1500000000.0,1902.0,finance,"['b2c', 'saas']",B2C
FOREX.com,forex.com,United States,Arkansas,Warren,501-1K,10m-50m,1991.0,Unknown,251000.0,30000000.0,1991.0,finance,"['b2c', 'b2b', 'service-provider']",B2C
Principal,principal.com,United States,Iowa,Des Moines,over-10K,over-1b,1879.0,private,12000.0,1500000000.0,1879.0,finance,"['b2b', 'b2c']",B2B
ICBC,icbc.com,Canada,British Columbia,North Vancouver,5K-10K,over-1b,1973.0,government,7500.0,1500000000.0,1973.0,insurance,"['b2g', 'service-provider']",B2G
Sentara,sentara.com,United States,Virginia,Virginia Beach,over-10K,200m-1b,1888.0,nonprofit,12000.0,600000000.0,1888.0,healthcare services,"['b2c', 'service-provider']",B2C
Swiss Re,swissre.com,Switzerland,Unknown,Unknown,over-10K,over-1b,1863.0,public,12000.0,1500000000.0,1863.0,insurance,"['b2b', 'b2g', 'saas']",B2B
MVP Health Care,mvphealthcare.com,United States,New York,Schenectady,1K-5K,over-1b,1983.0,nonprofit,3000.0,1500000000.0,1983.0,healthcare services,['b2c'],B2C
Asurion,asurion.com,United States,Tennessee,Nashville,over-10K,over-1b,1994.0,private,12000.0,1500000000.0,1994.0,insurance,"['b2c', 'service-provider']",B2C
The Hartford,thehartford.com,United States,Connecticut,Hartford,over-10K,over-1b,1810.0,public,12000.0,1500000000.0,1810.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
MoneySuperMarket,moneysupermarket.com,United Kingdom,Wales,Deeside,Unknown,200m-1b,1993.0,public,3000.0,600000000.0,1993.0,business services,"['b2c', 'e-commerce']",B2C
Acko,acko.com,India,Karnataka,Bengaluru,1K-5K,200m-1b,2017.0,private,3000.0,600000000.0,2017.0,insurance,"['b2c', 'service-provider', 'mobile']",B2C
FDM,fdm.dk,Denmark,Unknown,Unknown,201-500,1m-10m,1909.0,private,350.5,5500000.0,1909.0,organizations,"['b2c', 'b2b', 'service-provider']",B2C
Capitec Bank,capitecbank.co.za,South Africa,Western Cape,Stellenbosch,over-10K,over-1b,2001.0,public,12000.0,1500000000.0,2001.0,finance,['b2c'],B2C
INAIL,inail.it,Italy,Lazio,Rome,5K-10K,10m-50m,1883.0,government,7500.0,30000000.0,1883.0,insurance,"['b2g', 'service-provider']",B2G
LoopNet,loopnet.com,United States,Connecticut,Washington,201-500,50m-100m,1995.0,public,350.5,75000000.0,1995.0,real estate,"['b2b', 'e-commerce']",B2B
Fetch,fetchpet.com,United States,New York,Unknown,201-500,50m-100m,2003.0,private,350.5,75000000.0,2003.0,insurance,['b2c'],B2C
Life Insurance Corporation,licindia.in,India,Maharashtra,Mumbai,over-10K,over-1b,1956.0,public,12000.0,1500000000.0,1956.0,insurance,"['b2c', 'b2b', 'service-provider']",B2C
Kotak Mahindra Bank,kotak.com,India,Maharashtra,Mumbai,over-10K,over-1b,1985.0,public,12000.0,1500000000.0,1985.0,finance,"['b2b', 'b2c']",B2B
HDI Global,hdi.global,Germany,Lower Saxony,Unknown,1K-5K,over-1b,1903.0,public,3000.0,1500000000.0,1903.0,insurance,"['b2b', 'service-provider']",B2B
Auto,auto.ru,Russia,Unknown,Unknown,11-50,1m-10m,1996.0,public,30.5,5500000.0,1996.0,retail,"['b2c', 'b2b', 'e-commerce']",B2C
RBC Insurance,rbcinsurance.com,Canada,Ontario,Mississauga,1K-5K,under-1m,1994.0,public,3000.0,500000.0,1994.0,insurance,['b2c'],B2C
Lone Star Nursery,lonestarnursery.com,United States,Texas,Manor,1-10,Unknown,Unknown,Unknown,5.5,600000000.0,,agriculture,"['b2c', 'e-commerce']",B2C
TimberIN,woodenhottubsale.co.uk,United Kingdom,Unknown,Unknown,Unknown,under-1m,Unknown,Unknown,3000.0,500000.0,,retail,"['b2c', 'b2b', 'e-commerce']",B2C
Forest Products Laboratory,fs.fed.us,United States,Pennsylvania,Unknown,11-50,1m-10m,1905.0,Unknown,30.5,5500000.0,1905.0,agriculture,['b2g'],B2G
Tractor Supply,tractorsupply.com,United States,Tennessee,Brentwood,over-10K,Unknown,1938.0,Unknown,12000.0,600000000.0,1938.0,retail,"['b2c', 'e-commerce']",B2C
CDEK - Express Courier Delivery,cdek.ru,United States,Unknown,Unknown,51-200,Unknown,2000.0,public,125.5,600000000.0,2000.0,transportation,"['b2b', 'b2c', 'service-provider']",B2B
Siemens,siemens.com,Germany,Bavaria,Munich,over-10K,over-1b,1847.0,public,12000.0,1500000000.0,1847.0,agriculture,"['b2b', 'saas']",B2B
Bayer,bayer.com,Germany,North Rhine-Westphalia,Leverkusen,over-10K,over-1b,1863.0,public,12000.0,1500000000.0,1863.0,business services,"['b2b', 'b2c']",B2B
John Deere,deere.com,United States,Illinois,Moline,over-10K,over-1b,1958.0,public,12000.0,1500000000.0,1958.0,agriculture,"['b2b', 'saas']",B2B
Hormel Foods,hormel.com,United States,Minnesota,Austin,1-10,10m-50m,1891.0,public,5.5,30000000.0,1891.0,agriculture,"['b2b', 'b2c', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2B
Mars,mars.com,United States,Virginia,McLean,over-10K,over-1b,1911.0,private,12000.0,1500000000.0,1911.0,manufacturing,['b2c'],B2C
Nestlé,nestle.com,Switzerland,Vaud,Vevey,over-10K,over-1b,1866.0,public,12000.0,1500000000.0,1866.0,retail,['b2c'],B2C
Davey Tree,davey.com,United States,Ohio,Kent,1K-5K,over-1b,1880.0,private,3000.0,1500000000.0,1880.0,consumer services,"['b2b', 'b2c', 'b2g', 'service-provider']",B2B
Colgate,colgate.com,United States,New Jersey,Morristown,1-10,over-1b,1806.0,public,5.5,1500000000.0,1806.0,agriculture,['b2c'],B2C
Emerson,emerson.com,United States,Missouri,St. Louis,over-10K,over-1b,1890.0,public,12000.0,1500000000.0,1890.0,business services,['b2b'],B2B
Yara,yara.com,Norway,Oslo,Oslo,over-10K,over-1b,1905.0,public,12000.0,1500000000.0,1905.0,agriculture,['b2b'],B2B
Office National des Forêts,onf.fr,France,Île-de-France,Maisons-Alfort,5K-10K,Unknown,1964.0,government,7500.0,600000000.0,1964.0,agriculture,"['b2g', 'service-provider']",B2G
Husqvarna,husqvarna.com,Sweden,Jönköping County,Huskvarna,51-200,over-1b,1689.0,public,125.5,1500000000.0,1689.0,manufacturing,"['b2b', 'b2c']",B2B
Johnny's Selected Seeds,johnnyseeds.com,United States,Maine,Winslow,51-200,10m-50m,1973.0,private,125.5,30000000.0,1973.0,retail,"['b2b', 'b2c', 'e-commerce']",B2B
Misfits Market,misfitsmarket.com,United States,California,San Francisco,201-500,200m-1b,2018.0,private,350.5,600000000.0,2018.0,retail,"['b2c', 'e-commerce']",B2C
Syngenta,syngenta-us.com,United States,North Carolina,Greensboro,1-10,Unknown,Unknown,private,5.5,600000000.0,,agriculture,"['b2b', 'saas']",B2B
ADAMA,adama.com,Israel,Unknown,Unknown,1K-5K,over-1b,1970.0,private,3000.0,1500000000.0,1970.0,business services,['b2b'],B2B
FarmBot,farm.bot,United States,California,San Luis Obispo,1-10,Unknown,2015.0,private,5.5,600000000.0,2015.0,agriculture,"['b2c', 'b2b', 'e-commerce']",B2C
Andersen,andersenwindows.com,United States,Minnesota,Bayport,5K-10K,over-1b,1977.0,private,7500.0,1500000000.0,1977.0,agriculture,"['b2c', 'b2b', 'saas']",B2C
Cargill,cargill.com,United States,Minnesota,Minneapolis,over-10K,over-1b,1865.0,private,12000.0,1500000000.0,1865.0,retail,['b2b'],B2B
Jeld-Wen,jeld-wen.com,United States,North Carolina,Charlotte,over-10K,over-1b,1960.0,public,12000.0,1500000000.0,1960.0,agriculture,"['b2b', 'b2c', 'saas']",B2B
Kronospan,kronospan.com,United States,Alabama,Unknown,1K-5K,over-1b,1966.0,private,3000.0,1500000000.0,1966.0,agriculture,"['b2b', 'b2c', 'b2g', 'e-commerce', 'service-provider', 'mobile', 'saas', 'media']",B2B
Yanmar,yanmar.com,Japan,Ōsaka Prefecture,Osaka,501-1K,over-1b,1912.0,private,251000.0,1500000000.0,1912.0,agriculture,"['b2b', 'service-provider']",B2B
Alltech,alltech.com,United States,Kentucky,Nicholasville,1K-5K,over-1b,1980.0,private,3000.0,1500000000.0,1980.0,business services,['b2b'],B2B
ARK,ark.org,United States,New York,Rochester,Unknown,Unknown,1983.0,Unknown,3000.0,600000000.0,1983.0,government,['b2g'],B2G
Korea Forest Service,forest.go.kr,South Korea,Unknown,Unknown,11-50,Unknown,Unknown,government,30.5,600000000.0,,government,"['b2g', 'service-provider']",B2G
RMK,rmk.ee,Estonia,Unknown,Unknown,501-1K,Unknown,Unknown,government,251000.0,600000000.0,,"energy, utilities and waste","['b2g', 'service-provider']",B2G
David Austin Roses,davidaustinroses.com,United States,Texas,Tyler,11-50,10m-50m,1969.0,Unknown,30.5,30000000.0,1969.0,agriculture,"['b2c', 'e-commerce']",B2C
Air Conveyance Systems,airconveyance.com,Canada,Ontario,Unknown,Unknown,Unknown,Unknown,Unknown,3000.0,600000000.0,,manufacturing,"['b2b', 'service-provider']",B2B
Plant-for-the-Planet,plant-for-the-planet.org,Germany,Bavaria,Tutzing,51-200,1m-10m,2007.0,nonprofit,125.5,5500000.0,2007.0,organizations,"['b2b', 'b2c', 'saas']",B2B
